ProductSKU,RecordUID,DeptName,ItemName,ItemDetailedSpecs,SellingPrice,CostPrice,CurrentStock(QTY),CaseQuantity(CTN),UPC(BARCODE),AlternateLookupBarcode(ALPHANUMERIC),ProductVariant,DimensionScale,AltKeyAlpha,AltKeyBeta,AltKeyGamma,AltKeyDelta,AltKeyEpsilon,AltKeyZeta
1046,,PROVISIONS,GOLDEN PENNY SUGAR 250G,GOLDEN PENNY SUGAR 250G,0,0,28,1,6.156E+12,6.156E+12,,,,,,,,
1050,,PROVISIONS,DOGAN'S SUGAR CUBES 500G,DOGAN'S SUGAR CUBES 500G,0,0,32,1,6.156E+12,6.156E+12,,,,,,,,
1052,,PROVISIONS,PEAK REFILL FULL CREAM MILK 800G,PEAK REFILL FULL CREAM MILK 800G,0,0,42,1,6.156E+12,6.156E+12,,,,,,,,
1054,,PROVISIONS,PEAK MILK 4.5.6 REFILL 400G,PEAK MILK 4.5.6 REFILL 400G,0,0,34,1,6.156E+12,6.156E+12,,,,,,,,
1055,,PROVISIONS,PEAK FILLED EVAPORATED MILK LITE & CREAMY 59G,PEAK FILLED EVAPORATED MILK LITE & CREAMY 59G,0,0,18,1,6.156E+12,6.156E+12,,,,,,,,
1056,,PROVISIONS,NUTZY OSE OJI GROUNDNUT DIP 227G,NUTZY OSE OJI GROUNDNUT DIP 227G,0,0,6,1,6.156E+12,6.156E+12,,,,,,,,
1065,,PROVISIONS,MINIMIE CHIN CHIN 40GM,MINIMIE CHIN CHIN 40GM,0,0,532,1,6.156E+12,6.156E+12,,,,,,,,
1066,,PROVISIONS,DANO CHOCOLATE MILK DRINK POWDER SACHET 22G,DANO CHOCOLATE MILK DRINK POWDER SACHET 22G,0,0,91,1,6.156E+12,6.156E+12,,,,,,,,
1067,,PROVISIONS,DANO FULL CREAM MILK SACHET 14G,DANO FULL CREAM MILK SACHET 14G,0,0,2012,1,6.156E+12,6.156E+12,,,,,,,,
1069,,PROVISIONS,DANO COOL COW 12G,DANO COOL COW 12G,0,0,576,1,6.156E+12,6.156E+12,,,,,,,,
107,,VILLAGE MARKET,TURNING STICK SMALL (LOCAL),TURNING STICK SMALL (LOCAL),0,0,6,1,3014,3014,,,,,,,,
1073,,PROVISIONS,NUTZY PEANUT BUTTER CREAM SMOOTH 510G,NUTZY PEANUT BUTTER CREAM SMOOTH 510G,0,0,10,1,6.156E+12,6.156E+12,,,,,,,,
1075,,PROVISIONS,NUTZY PEANUT BUTTER EXTRA CRUNCHY 510G,NUTZY PEANUT BUTTER EXTRA CRUNCHY 510G,0,0,1,1,6.156E+12,6.156E+12,,,,,,,,
1076,,PROVISIONS,DIVA PREMIUM COCOA POWDER JAR 250G,DIVA PREMIUM COCOA POWDER JAR 250G,0,0,2,1,6.156E+12,6.156E+12,,,,,,,,
1079,,PROVISIONS,SUNWARD DATE POWDER 320G,SUNWARD DATE POWDER 320G,0,0,3,1,6.156E+12,6.156E+12,,,,,,,,
1080,,PROVISIONS,SUNWARD GLOBAL ZOBO POWDER POUNCH 300G,SUNWARD GLOBAL ZOBO POWDER POUNCH 300G,0,0,9,1,6.156E+12,6.156E+12,,,,,,,,
1081,,PROVISIONS,CHECKERS MILK CUSTARD 700GMS,CHECKERS MILK CUSTARD 700GMS,0,0,11,1,6.156E+12,6.156E+12,,,,,,,,
1082,,PROVISIONS,DIOS DLITE TOASTED & CRUNCHY FRUIT MIX 400G,DIOS DLITE TOASTED & CRUNCHY FRUIT MIX 400G,0,0,1,1,6.156E+12,6.156E+12,,,,,,,,
1093,,PROVISIONS,DAMBOLS FOODS ELUBO YAM FLOUR 1KG,DAMBOLS FOODS ELUBO YAM FLOUR 1KG,0,0,8,1,6.156E+12,6.156E+12,,,,,,,,
1094,,PROVISIONS,JOES FOODS HONEY 500G,JOES FOODS HONEY 500G,0,0,11,1,6.156E+12,6.156E+12,,,,,,,,
1097,,PROVISIONS,ABAJ GARRI 3KG,ABAJ GARRI 3KG,0,0,2,1,6.1564E+12,6.1564E+12,,,,,,,,
1098,,PROVISIONS,MEC-WENDY'S OAT FLAKES WHOLE GRAIN 500G,MEC-WENDY'S OAT FLAKES WHOLE GRAIN 500G,0,0,15,1,6.157E+12,6.157E+12,,,,,,,,
1102,,PROVISIONS,NESCAFE CLASSIC SACHET 1.5G,NESCAFE CLASSIC SACHET 1.5G,0,0,152,1,6.181E+12,6.181E+12,,,,,,,,
1103,,PROVISIONS,FINCAP EGG & BANANA CUSTARD POWDER 2KG,FINCAP EGG & BANANA CUSTARD POWDER 2KG,0,0,2,1,6.19659E+12,6.19659E+12,,,,,,,,
1109,,PROVISIONS,TIFFANY CREAMS ORANGE 80G,TIFFANY CREAMS ORANGE 80G,0,0,5,1,6.291E+12,6.291E+12,,,,,,,,
1110,,PROVISIONS,TIFFANY CREAMS MANGO 80G,TIFFANY CREAMS MANGO 80G,0,0,12,1,6.291E+12,6.291E+12,,,,,,,,
1121,,PROVISIONS,BLUE PEARL CHOCOLATE POWDER INSTANT DRINKING 200G,BLUE PEARL CHOCOLATE POWDER INSTANT DRINKING 200G,0,0,1,1,6.297E+12,6.297E+12,,,,,,,,
1123,,PROVISIONS,NASCO CORNFLAKES ORIGINAL 350G,NASCO CORNFLAKES ORIGINAL 350G,0,0,11,1,6.3011E+12,6.3011E+12,,,,,,,,
1124,,PROVISIONS,NASCO CORN FLAKES 500G,NASCO CORN FLAKES 500G,0,0,11,1,6.3011E+12,6.3011E+12,,,,,,,,
1125,,PROVISIONS,NASCO CORNFLAKES STRAWBERRY 350G,NASCO CORNFLAKES STRAWBERRY 350G,0,0,14,1,6.3011E+12,6.3011E+12,,,,,,,,
1129,,PROVISIONS,NASCO CORNFLAKES ORIGINAL 35G,NASCO CORNFLAKES ORIGINAL 35G,0,0,73,1,6.3011E+12,6.3011E+12,,,,,,,,
1131,,PROVISIONS,NASCO CONFLAKES SARCHET ORIGINAL 170G,NASCO CONFLAKES SARCHET ORIGINAL 170G,0,0,8,1,6.3011E+12,6.3011E+12,,,,,,,,
1132,,PROVISIONS,NASCO CORNFLAKES BANANA WHOLE FLAKES CEREALS SACHE,NASCO CORNFLAKES BANANA WHOLE FLAKES CEREALS SACHE,0,0,91,1,6.3011E+12,6.3011E+12,,,,,,,,
1133,,PROVISIONS,NASCO CORNFLAKES STRAWBERRY WHOLE FLAKES CEREALS S,NASCO CORNFLAKES STRAWBERRY WHOLE FLAKES CEREALS S,0,0,76,1,6.3011E+12,6.3011E+12,,,,,,,,
114,,VILLAGE MARKET,GREEN LEAF (EFOR),GREEN LEAF (EFOR),0,0,2,1,3265,3265,,,,,,,,
115,,VILLAGE MARKET,STOCK FISH SLICED MEDIUM,STOCK FISH SLICED MEDIUM,0,0,13,1,3.2852E+12,3.2852E+12,,,,,,,,
1150,,PROVISIONS,MUNRO GLUCOSE D 50G,MUNRO GLUCOSE D 50G,0,0,70,1,6.89076E+12,6.89076E+12,,,,,,,,
1152,,PROVISIONS,NIGHT ROCKET IN POCKET MEN'S COFFEE 40G,NIGHT ROCKET IN POCKET MEN'S COFFEE 40G,0,0,26,1,6.89521E+12,6.89521E+12,,,,,,,,
1154,,PROVISIONS,ANTIHYPERTENSIVE TEA EGRET RIVER BRAND 40G,ANTIHYPERTENSIVE TEA EGRET RIVER BRAND 40G,0,0,5,1,6.90141E+12,6.90141E+12,,,,,,,,
1158,,PROVISIONS,BLOOD SUGAR REDUCING TEA 20 TEA BAGS BY 2G,BLOOD SUGAR REDUCING TEA 20 TEA BAGS BY 2G,0,0,2,1,6.90141E+12,6.90141E+12,,,,,,,,
1161,,PROVISIONS,GOLD SCOTTISH SIMPLY CLASSIC CHOCO 250G,GOLD SCOTTISH SIMPLY CLASSIC CHOCO 250G,0,0,7,1,6.91917E+12,6.91917E+12,,,,,,,,
1162,,PROVISIONS,GOLD SCOTTISH SIMPLY CLASSIC CRUNCHY 250G,GOLD SCOTTISH SIMPLY CLASSIC CRUNCHY 250G,0,0,20,1,6.91917E+12,6.91917E+12,,,,,,,,
1163,,PROVISIONS,WIN TOWN COFFEE KING XPOWER COFFEE 200G,WIN TOWN COFFEE KING XPOWER COFFEE 200G,0,0,4,1,6.92022E+12,6.92022E+12,,,,,,,,
1166,,PROVISIONS,NATURAL HEART SUPPORTING HERBAL TEA 40G,NATURAL HEART SUPPORTING HERBAL TEA 40G,0,0,1,1,6.92717E+12,6.92717E+12,,,,,,,,
1167,,PROVISIONS,NATURAL BLOOD SUGAR REDUCING TEA 40G,NATURAL BLOOD SUGAR REDUCING TEA 40G,0,0,5,1,6.92717E+12,6.92717E+12,,,,,,,,
1170,,PROVISIONS,HUOTUO AFTER STROKE RECOVERY TEA 40G,HUOTUO AFTER STROKE RECOVERY TEA 40G,0,0,4,1,6.92717E+12,6.92717E+12,,,,,,,,
1171,,PROVISIONS,LEGEND GINGER WITH HONEY LEMON 3IN1 180G,LEGEND GINGER WITH HONEY LEMON 3IN1 180G,0,0,4,1,6.9276E+12,6.9276E+12,,,,,,,,
1181,,PROVISIONS,MAHARANI ORGANIC HONEY 300G,MAHARANI ORGANIC HONEY 300G,0,0,5,1,6.92786E+12,6.92786E+12,,,,,,,,
1187,,PROVISIONS,UPGRADED SMOKERS TEA 3GX30BAG,UPGRADED SMOKERS TEA 3GX30BAG,0,0,2,1,6.93041E+12,6.93041E+12,,,,,,,,
1196,,PROVISIONS,MEJIC PROSTATE CONTROL TEA 40G,MEJIC PROSTATE CONTROL TEA 40G,0,0,2,1,6.94035E+12,6.94035E+12,,,,,,,,
1197,,PROVISIONS,MEJIC DRAGON POWR ENERGY TEA FOR LOVERS 40G,MEJIC DRAGON POWR ENERGY TEA FOR LOVERS 40G,0,0,1,1,6.94035E+12,6.94035E+12,,,,,,,,
1198,,PROVISIONS,TWININGS SYNERGY MENSTRUAL DISORDER CONTROL TEA 40,TWININGS SYNERGY MENSTRUAL DISORDER CONTROL TEA 40,0,0,1,1,6.94035E+12,6.94035E+12,,,,,,,,
1200,,PROVISIONS,DE-KINGS ANTI-DIABETES TEA 40G,DE-KINGS ANTI-DIABETES TEA 40G,0,0,1,1,6.94035E+12,6.94035E+12,,,,,,,,
1201,,PROVISIONS,DE-KINGS FERTILITY BOOSTER TEA 40G,DE-KINGS FERTILITY BOOSTER TEA 40G,0,0,1,1,6.94035E+12,6.94035E+12,,,,,,,,
1207,,PROVISIONS,DE-KINGS STORKE CONTOL TEA 40G,DE-KINGS STORKE CONTOL TEA 40G,0,0,4,1,6.94035E+12,6.94035E+12,,,,,,,,
121,,VILLAGE MARKET,CINNAMON POWDER 120G,CINNAMON POWDER 120G,0,0,13,1,3.69958E+12,3.69958E+12,,,,,,,,
1210,,PROVISIONS,SMILEY TEA HERBS LUNG FLUSH TEA 40G,SMILEY TEA HERBS LUNG FLUSH TEA 40G,0,0,3,1,6.94035E+12,6.94035E+12,,,,,,,,
1212,,PROVISIONS,SMILEY CHOLESTEROL CARE TEA HERB 40G,SMILEY CHOLESTEROL CARE TEA HERB 40G,0,0,5,1,6.94035E+12,6.94035E+12,,,,,,,,
1213,,PROVISIONS,SMILLEY MENSTRUATION DISORDER REGULATING TEA TEABA,SMILLEY MENSTRUATION DISORDER REGULATING TEA TEABA,0,0,1,1,6.94035E+12,6.94035E+12,,,,,,,,
1215,,PROVISIONS,SMILEY FIBROID REMOVAL TEA 20 TEABAGS 40G,SMILEY FIBROID REMOVAL TEA 20 TEABAGS 40G,0,0,6,1,6.94035E+12,6.94035E+12,,,,,,,,
1217,,PROVISIONS,SMILEY BLOOD SUGAR REDUCING TEA 40G,SMILEY BLOOD SUGAR REDUCING TEA 40G,0,0,3,1,6.94035E+12,6.94035E+12,,,,,,,,
123,,VILLAGE MARKET,KOTE FISH 1KG,KOTE FISH 1KG,0,0,5,1,3912,3912,,,,,,,,
1234,,PROVISIONS,PAPAHUT SUPER BIG VEGETABLE BISCUIT 315G,PAPAHUT SUPER BIG VEGETABLE BISCUIT 315G,0,0,59,1,6.9542E+12,6.9542E+12,,,,,,,,
1238,,PROVISIONS,LOOYS INSTAN GINGER WITH HONEY 160G,LOOYS INSTAN GINGER WITH HONEY 160G,0,0,6,1,6.95908E+12,6.95908E+12,,,,,,,,
1239,,PROVISIONS,LOOYS GINGER INSTANT DRINK WITH HONEY & LEMON TEA,LOOYS GINGER INSTANT DRINK WITH HONEY & LEMON TEA,0,0,5,1,6.95908E+12,6.95908E+12,,,,,,,,
124,,VILLAGE MARKET,ALUM,ALUM,0,0,6,1,444783,444783,,,,,,,,
1240,,PROVISIONS,LOOYS INSTAN GINGER WITH GENSENG,LOOYS INSTAN GINGER WITH GENSENG,0,0,5,1,6.95908E+12,6.95908E+12,,,,,,,,
1242,,PROVISIONS,SODA MILK SALT CRACKERS 450G,SODA MILK SALT CRACKERS 450G,0,0,11,1,6.97043E+12,6.97043E+12,,,,,,,,
1246,,PROVISIONS,MOREFUTURE LIGHTNESS SLIMMING TEA 60G,MOREFUTURE LIGHTNESS SLIMMING TEA 60G,0,0,3,1,6.97377E+12,6.97377E+12,,,,,,,,
1247,,PROVISIONS,MOREFUTURE JASMINE GREEN TEA 45G,MOREFUTURE JASMINE GREEN TEA 45G,0,0,1,1,6.97377E+12,6.97377E+12,,,,,,,,
125,,VILLAGE MARKET,OLOYIN BEANS 1KG,OLOYIN BEANS 1KG,0,0,5,1,4587925,4587925,,,,,,,,
1254,,PROVISIONS,LONDON DREAMS CHOCO CREAM WAFER 30G,LONDON DREAMS CHOCO CREAM WAFER 30G,0,0,18,1,7.03365E+11,7.03365E+11,,,,,,,,
1257,,PROVISIONS,LADY B CUSTARD POWDER 500G,LADY B CUSTARD POWDER 500G,0,0,1,1,7.10155E+11,7.10155E+11,,,,,,,,
1258,,PROVISIONS,CHECKERS CUSTARD VANILLA REFILL 1KG,CHECKERS CUSTARD VANILLA REFILL 1KG,0,0,29,1,7.14085E+11,7.14085E+11,,,,,,,,
1259,,PROVISIONS,CHECKERS CUSTARD VANILLA REFILL 400G,CHECKERS CUSTARD VANILLA REFILL 400G,0,0,29,1,7.14085E+11,7.14085E+11,,,,,,,,
1260,,PROVISIONS,CHECKERS BANANA CUSTARD POWDER SACHET 50G,CHECKERS BANANA CUSTARD POWDER SACHET 50G,0,0,85,1,7.14085E+11,7.14085E+11,,,,,,,,
1261,,PROVISIONS,CHECKERS BANANA 2KG,CHECKERS BANANA 2KG,0,0,9,1,7.14085E+11,7.14085E+11,,,,,,,,
1262,,PROVISIONS,CHECKERS MILK CUSTARD POWDER 3IN1 SACHET 45G,CHECKERS MILK CUSTARD POWDER 3IN1 SACHET 45G,0,0,60,1,7.14085E+11,7.14085E+11,,,,,,,,
1263,,PROVISIONS,CHECKERS MILK CUSTARD 3IN1 1.5KG,CHECKERS MILK CUSTARD 3IN1 1.5KG,0,0,2,1,7.14085E+11,7.14085E+11,,,,,,,,
1269,,PROVISIONS,TAE-EXOTICA NATURAL HIBISCUS TEA CLOVE GINGER & MI,TAE-EXOTICA NATURAL HIBISCUS TEA CLOVE GINGER & MI,0,0,11,1,7.31947E+11,7.31947E+11,,,,,,,,
1270,,PROVISIONS,TAE-EXOTICA NATURAL HIBISCUS TEA CINNAMON 212G,TAE-EXOTICA NATURAL HIBISCUS TEA CINNAMON 212G,0,0,11,1,7.31947E+11,7.31947E+11,,,,,,,,
1271,,PROVISIONS,TAE-EXOTICA NATURAL HIBISCUS TEA GLOVE AND GINGER,TAE-EXOTICA NATURAL HIBISCUS TEA GLOVE AND GINGER,0,0,11,1,7.31947E+11,7.31947E+11,,,,,,,,
1281,,PROVISIONS,TROPICANA SLIM ZERO CALORIE SWEETENER DIET 50 STIC,TROPICANA SLIM ZERO CALORIE SWEETENER DIET 50 STIC,0,0,2,1,7.49921E+11,7.49921E+11,,,,,,,,
1285,,PROVISIONS,DIABETAMIL VANILLA CEREAL 187.5G,DIABETAMIL VANILLA CEREAL 187.5G,0,0,2,1,7.49922E+11,7.49922E+11,,,,,,,,
1294,,PROVISIONS,OVALTINE MALTED SACHET DRINK 18G,OVALTINE MALTED SACHET DRINK 18G,0,0,142,1,7.6121E+12,7.6121E+12,,,,,,,,
1296,,PROVISIONS,OVALTINE MALTED FOOD DRINK TIN 800G,OVALTINE MALTED FOOD DRINK TIN 800G,0,0,11,1,7.6121E+12,7.6121E+12,,,,,,,,
1297,,PROVISIONS,OVALTINE CHOCOLATE DRINK TIN 400G,OVALTINE CHOCOLATE DRINK TIN 400G,0,0,11,1,7.6121E+12,7.6121E+12,,,,,,,,
1298,,PROVISIONS,OVALTINE MALTED FOOD DRINK 1200G,OVALTINE MALTED FOOD DRINK 1200G,0,0,4,1,7.6121E+12,7.6121E+12,,,,,,,,
13,,VILLAGE MARKET,OKRO,OKRO,0,0,9,1,5082,5082,,,,,,,,
1301,,PROVISIONS,OVALTINE MALTED FOOD DRINK REFILL 350G,OVALTINE MALTED FOOD DRINK REFILL 350G,0,0,3,1,7.6121E+12,7.6121E+12,,,,,,,,
1302,,PROVISIONS,OVALTINE MALTED FOOD DRINK REFILL 700G,OVALTINE MALTED FOOD DRINK REFILL 700G,0,0,4,1,7.6121E+12,7.6121E+12,,,,,,,,
131,,VILLAGE MARKET,STOCK FISH SLICED BIG,STOCK FISH SLICED BIG,0,0,12,1,5.78965E+12,5.78965E+12,,,,,,,,
132,,VILLAGE MARKET,RAW ZOBO,RAW ZOBO,0,0,3,1,6.00146E+12,6.00146E+12,,,,,,,,
1320,,PROVISIONS,CADBURY BORNVITA REFILL 500G,CADBURY BORNVITA REFILL 500G,0,0,19,1,7.62201E+12,7.62201E+12,,,,,,,,
1321,,PROVISIONS,CADBURY 3IN1 HOT CHOCOLATE DRINK POUNCH 450G,CADBURY 3IN1 HOT CHOCOLATE DRINK POUNCH 450G,0,0,10,1,7.6222E+12,7.6222E+12,,,,,,,,
1325,,PROVISIONS,CADBURY BOURN VITA JAR 450G,CADBURY BOURN VITA JAR 450G,0,0,11,1,7.6222E+12,7.6222E+12,,,,,,,,
1326,,PROVISIONS,CADBURY BOURN VITA POUNCH 380G,CADBURY BOURN VITA POUNCH 380G,0,0,23,1,7.6222E+12,7.6222E+12,,,,,,,,
133,,VILLAGE MARKET,TUMERIC POWDER,TUMERIC POWDER,0,0,18,1,6.00479E+12,6.00479E+12,,,,,,,,
1330,,PROVISIONS,CADBURY BOURNVITA 20G,CADBURY BOURNVITA 20G,0,0,455,1,7.62221E+12,7.62221E+12,,,,,,,,
1332,,PROVISIONS,CADBURY BOURNVITA 900G,CADBURY BOURNVITA 900G,0,0,7,1,7.62221E+12,7.62221E+12,,,,,,,,
1333,,PROVISIONS,BOURNVITA REFILL 450G,BOURNVITA REFILL 450G,0,0,40,1,7.62221E+12,7.62221E+12,,,,,,,,
1337,,PROVISIONS,OREO STRAWBERRY CREME 119.6G,OREO STRAWBERRY CREME 119.6G,0,0,3,1,7.6223E+12,7.6223E+12,,,,,,,,
1338,,PROVISIONS,OREO ICE CREAM 119.6G,OREO ICE CREAM 119.6G,0,0,11,1,7.6223E+12,7.6223E+12,,,,,,,,
1342,,PROVISIONS,CHECKERS 4 IN 1 CHOCOLATE FLAVOUR 1KG,CHECKERS 4 IN 1 CHOCOLATE FLAVOUR 1KG,0,0,11,1,7.82706E+11,7.82706E+11,,,,,,,,
1343,,PROVISIONS,CHECKERS MILK CUSTARD 3IN1 BREAKFAST 1KG,CHECKERS MILK CUSTARD 3IN1 BREAKFAST 1KG,0,0,5,1,7.82706E+11,7.82706E+11,,,,,,,,
1344,,PROVISIONS,CHECKERS CUSTARD POWDER VANILLA FLAVOUR 1KG,CHECKERS CUSTARD POWDER VANILLA FLAVOUR 1KG,0,0,6,1,7.82706E+11,7.82706E+11,,,,,,,,
1345,,PROVISIONS,CHECKERS CUSTARD BANANA POWDER 1KG,CHECKERS CUSTARD BANANA POWDER 1KG,0,0,5,1,7.82706E+11,7.82706E+11,,,,,,,,
1346,,PROVISIONS,KIVO GOOD TIME NON CREAMER MILK POUNCH 320G,KIVO GOOD TIME NON CREAMER MILK POUNCH 320G,0,0,11,1,7.86412E+11,7.86412E+11,,,,,,,,
1347,,PROVISIONS,KIVO GOOD TIME 3IN1 GARRI MIX VANILLA FLAVOUR 100G,KIVO GOOD TIME 3IN1 GARRI MIX VANILLA FLAVOUR 100G,0,0,74,1,7.86412E+11,7.86412E+11,,,,,,,,
135,,VILLAGE MARKET,BITTER LEAF,BITTER LEAF,0,0,120,1,6.01369E+12,6.01369E+12,,,,,,,,
1351,,PROVISIONS,OLUJI PURE COCOA POWDER 250G,OLUJI PURE COCOA POWDER 250G,0,0,8,1,7.98304E+11,7.98304E+11,,,,,,,,
1353,,PROVISIONS,LOACKER CLASSIC VANILLA CRISPY WAFERS BISCUT 175G,LOACKER CLASSIC VANILLA CRISPY WAFERS BISCUT 175G,0,0,35,1,8.00038E+12,8.00038E+12,,,,,,,,
1356,,PROVISIONS,NUTELLA FERRERO 350G,NUTELLA FERRERO 350G,0,0,32,1,80177173,80177173,,,,,,,,
136,,VILLAGE MARKET,CAMEROON PEPPER 100G,CAMEROON PEPPER 100G,0,0,18,1,6.02115E+12,6.02115E+12,,,,,,,,
1360,,PROVISIONS,JAGO MAYONNAISE 887ML,JAGO MAYONNAISE 887ML,0,0,9,1,8.4103E+12,8.4103E+12,,,,,,,,
1361,,PROVISIONS,JAGO MAYONNAISE 443ML,JAGO MAYONNAISE 443ML,0,0,10,1,8.4103E+12,8.4103E+12,,,,,,,,
1368,,PROVISIONS,GULLON SUGAR FREE CHOCOLATE FLAVOUR WAffer 180G,GULLON SUGAR FREE CHOCOLATE FLAVOUR WAffer 180G,0,0,1,1,8.41038E+12,8.41038E+12,,,,,,,,
1376,,PROVISIONS,NESCAFE GOLD BLEND 95G,NESCAFE GOLD BLEND 95G,0,0,4,1,8.44529E+12,8.44529E+12,,,,,,,,
1377,,PROVISIONS,NESCAFE DECAF ORIGINAL 95G,NESCAFE DECAF ORIGINAL 95G,0,0,3,1,8.44529E+12,8.44529E+12,,,,,,,,
1380,,PROVISIONS,NESCAFE GOLD BLEND DECAF 95G,NESCAFE GOLD BLEND DECAF 95G,0,0,9,1,8.44529E+12,8.44529E+12,,,,,,,,
1393,,PROVISIONS,LUSH COCOA CREAM COOKIES ORIGINAL 68G,LUSH COCOA CREAM COOKIES ORIGINAL 68G,0,0,70,1,8.68104E+12,8.68104E+12,,,,,,,,
1395,,PROVISIONS,LUSH COCOA CREAM COOKIES DARK 34G,LUSH COCOA CREAM COOKIES DARK 34G,0,0,3,1,8.68104E+12,8.68104E+12,,,,,,,,
1398,,PROVISIONS,ANKARA NUH' NU SPAGHETTINI 500G,ANKARA NUH' NU SPAGHETTINI 500G,0,0,5,1,8.69058E+12,8.69058E+12,,,,,,,,
1419,,PROVISIONS,GEURTS PINEAPPLE JAM 450G,GEURTS PINEAPPLE JAM 450G,0,0,3,1,8.71081E+12,8.71081E+12,,,,,,,,
